from,to
Allen Swift,Bob Smith
Jerry Livingston,Milton Berle
Mr. Risom,Richard Avedon
Paul E. Erdman,Michael Caine
Horace Heidt,Al Hirt
Albert Seedman,John V. Lindsay
George Katz,Muhammad Ali
Ruby Keeler,Harry Rigby
Rick Steiner,Bob Dylan
Sidney Zion,Murray Kempton
Stanley S. Scott,Gerald R. Ford
Kathi Kamen Goldmark,Norman Mailer
Paul R. Reynolds,George Bernard Shaw
John Bernard Myers,James Schuyler
Gene Cavallero Jr.,Truman Capote
Richmond M. Flowers,Douglas MacArthur
Howard J. Samuels,Edward M. Kennedy
Nancy Reagan,Geraldine A. Ferraro
William J. Koslo,James Goldsmith
Lynn Margulis,John Maynard Smith
Alton G. Marshall,Nelson A. Rockefeller
Don E. Fehrenbacher,William Robertson
Nick Vanoff,Andy Williams
Nan Rosenthal,Scott Burton
Emil Gilels,Nathan Milstein
Abraham M. Lindenbaum,Stanley Steingut
Ellen Stovall,Bill Clinton
Barbara Baxley,Off Broadway
Philip Jones Griffiths,Jacqueline Kennedy
John William,Johnny Cash
Robert Goldman,Paul Soloway
Jack Smith,Howard K. Smith
Sidney Peterson,Luis Bunuel
Lincoln Kirstein,Paul Cadmus
S. I. Newhouse Jr.,James Rosenquist
Vasiliki Johnides,Elia Kazan
Mr. Hudnut,Edward I. Koch
Chen Ziming,Mao Zedong
George Jackson,Wilson Pickett
Ralph David Abernathy,Hosea Williams
James G. Boswell II,Arnold Palmer
Kevin Geer,Alvin Klein
John Wesley Joice,Lanford Wilson
Jerome Lindon,Nathalie Sarraute
Selden Rodman,Thomas Mann
Pete Axthelm,John Leonard
William Meredith,Archibald MacLeish
Charles Reynolds,Harry Blackstone Jr.
Haywood Henry,Erskine Hawkins
Doug Ireland,Christopher Hitchens
Tommy Byrne,Johnny Podres
Carlos Andres Perez,Romulo Betancourt
Glen Gondrezick,Marvin Webster
Clyde Otis,Charlie Rich
Osborn Elliott,Katharine Graham
Peter A. Bordes,Joseph Rosenmiller
Claude Kipnis,Sarah Caldwell
Don Cherry,Collin Walcott
Richard Milhous Nixon,Robert S. McNamara
Paul Garner,Joe Besser
Martha Phillips,Gloria Vanderbilt
Boris Chertok,John F. Kennedy
John Dominis,Richard M. Nixon
Robert E. O'Bradovich,Thomas Jefferson
Barney Rosset,George Weidenfeld
Warren H. Bacon,Mary Lou
Ed Fouhy,Richard M. Nixon
Harry Ford,George Bradley
John G. Gude,Andy Rooney
James Rosenquist,Roy Lichtenstein
Marni Nixon,Deborah Kerr
Edouard Molinaro,Robin Williams
James A. Michener,Mary Martin
Robin Chandler Duke,Bill Clinton
James Farmer,Robert F. Kennedy
James Goldman,Katharine Hepburn
Arthur Cantor,Maggie Smith
Ashton Springer,Lucille Ball
Ken Annakin,Charlton Heston
Jean-Pierre Rampal,Pierre Boulez
Leo Castelli,Donald Judd
Harold Wilson,Lyndon B. Johnson
Lesley Gore,Marvin Gaye
Bill Richmond,Carol Burnett
Nicholas Martin,Conrad Susa
Marshall P. Safir,William Safire
Howard M. Teaf Jr.,Bryn Mawr
George Clayton Johnson,Harry Townes
George E. Barrett,Barry Goldwater
Spencer Truman Olin,Arnold Palmer
Sarah Vaughan,Mel Torme
Janet Leigh,Elizabeth Taylor
George C. Wallace,James E. Folsom
Baby Marie Osborne,Jean Simmons
B. R. Chopra,Jawaharlal Nehru
Carter Cooper,Malcolm Forbes
Larry Kert,Sanford Meisner
J. Thompson Ruger,William B. Ruger
Vincent F. Albano Jr.,Nelson A. Rockefeller
Sammy Davis Jr.,Stevie Wonder
Johnny Nicholson,Gloria Vanderbilt
Kay Starr,Peggy Lee
Philip Kingsley,Laurence Olivier
James B. Davis,Willie Bobo
Carol Richards,Gene Kelly
Betsy Palmer,John P. Shanley
Robert Whitehead,Maria Callas
Fritz Weaver,Mike Nichols
Elizabeth Snapp,Michael Gordon
Alan C. Greenberg,Laurence A. Tisch
Kongar-ol Ondar,Frank Zappa
Betty Binns Fletcher,Richard S. Arnold
Ralph Louis Engelstad,Adolf Hitler
R. Vance,John W. Davis
Robert Joseph Tramonte,Norman Rosten
Lucien Aigner,Albert Einstein
Gen. William C. Westmoreland,Lyndon B. Johnson
Olga San Juan,Bing Crosby
Wheeler B. Lipes,Franz P. Hoskins
Morton Gottlieb,Frank Marcus
Harry Caray,Jimmy Piersall
Egon Bondy,Bohumil Hrabal
Betty Trezza,Faye Dancer
Clair E. George,Ronald Reagan
Mr. Voinovich,George V. Voinovich
Carroll Carroll,Bing Crosby
Harold C. Schonberg,William Schuman
Lawrence R. Klein,Jimmy Carter
George Barris,Tom Ewell
Sheridan Morley,John Gielgud
Hugh Alton Carter Sr,Jimmy Carter
George Handy,Aaron Copland
Barbara Lea,Jan Wallman
Dane Clark,Cary Grant
Irene Diamond,Bill Clinton
The New York Times,Archibald MacLeish
Melvin Frank,Bob Hope
Francelia Butler,Margaret Hamilton
Miguel Ydigoras Fuentes,John F. Kennedy
Stephanie Reinhart,Merce Cunningham
Daniel Robbins,Andy Warhol
Grand Ayatollah Mohammed Hussein Fadlallah,Bill Clinton
Lo Marjane,Ingrid Bergman
S. Newman Darby,Jim Drake
Norman J. Rosen,John J. Santucci
Dom DiMaggio,Lou Boudreau
William B. Spong,George McGovern
Nicholas A. Rango,David Axelrod
Sacha Distel,Queen Elizabeth II
Franz Weissmann,Max Bill
Davy Crockett,Sterling Hayden
Joseph Heller,Barbara Gelb
Garo Yepremian,Judy Klemesrud
Juan Formell,Fidel Castro
Bill Goodstein,George Steinbrenner
Robert F. Drinan,Ronald Reagan
June Allyson,Ross Hunter
Alex J. Kramer,Bing Crosby
Gunter Guillaume,Erich Honecker
John Barkham,Alan Paton
Alan O. Ross,Judith Leibowitz
E. Wood,William Schuman
Errol Flynn,George Raft
Arpad Goncz,Vaclav Havel
John C. A. Watkins,June Watkins
Frank Gifford,Don Meredith
Jo Jones,Buck Clayton
Laura Branigan,Leonard Cohen
John Brook Marriott,Queen Elizabeth II
William McCleery,Walter Abel
Sheldon Meyer,Bobby Thomson
Alan C. Nelson,George Bush
Noel Fairchild Busch,George Washington
John G. Dow,Lyndon B. Johnson
Ewart G. Abner Jr.,Stevie Wonder
Frederic Warriner,Helen Hayes
Joe Pass,Carmen McRae
Eleanor Gehrig,Lefty Gomez
Alvin Ailey,Mari Kajiwara
Samuel Z. Arkoff,Woody Allen
Kermit Goell,Kay Kyser
Buck Dawson,Mark Spitz
Joe Steffy,Doc Blanchard
Darrall Imhoff,Wilt Chamberlain
Ilona Karmel Zucker,Archibald MacLeish
Georgi A. Arbatov,Ronald Reagan
Arthur F. Davidsen,Herbert Friedman
Chris Chase,Bert Stern
James Garner,Richard L. Bare
Frederick Roberts Rinehart,Henry Holt
Jenny Wallenda,Niagara Falls
Lindsey Nelson,Ara Parseghian
Brad Corbett,Staten Island
Jerry Bock,George Weiss
Walter Slezak,Bosley Crowther
Douglas V. Fowley,Charlton Heston
Lou Michaels,Heisman Trophy
Stewart L. Udall,Edward M. Kennedy
John Berg,John Updike
Sam Hairston,Jackie Robinson
Kurt Masur,Pierre Boulez
John Beck,James Stewart
Nicholas Ferraro,Geraldine A. Ferraro
Charles W. Bailey,Burt Lancaster
Bruce Hart,Michael Jackson
James Starbuck,George Balanchine
Mr. Mikva,Abner J. Mikva
Len Lesser,Dustin Hoffman
Betty Nuthall,Allison Danzig
Buddy Rich,Jackie Coogan
Robin Chandler Duke,Angier Biddle Duke
Anthony Shaffer,Alfred Hitchcock
Alistair Horne,Maurice Oldfield
Ruth Donnelly,Frank Capra
Bunny Austin,Babe Ruth
Art Powell,Bill Walsh
Erik Darling,Pete Seeger
Robert C. Scull,Robert Rauschenberg
Charlotte Selver,Charles Brooks
Kelan Philip Cohran,Abbey Lincoln
John Hart Ely,Ronald Dworkin
Mendes Hershman,Abraham D. Beame
Doris Dowling,Silvana Mangano
Samuel Fuller,Gene Evans
Herbert R. Lottman,Man Ray
H. Bruce Humberstone,Danny Kaye
Barrington D. Parker,Ronald Reagan
William Loeb,Nelson A. Rockefeller
Paul Draper,John Martin
Jim Pepper,Larry Coryell
Peter Brown,John Russell
Benjamin L. Hooks,Jimmy Carter
Catherine Viviano,Max Beckmann
Remy Charlip,John Cage
Joel McCrea,Lana Turner
Mary Ann Mobley,Jerry Lewis
William Thomas Seawell,Najeeb E. Halaby
James M. Fiore Jr.,Staten Island
Joey Bishop,Jack Paar
Thomas H. Everett,Thomas Hoving
Roy Huggins,Stephen J. Cannell
Milton Friedman,Russell Kirk
Mr. Dickerson,Nancy Reagan
J. Ralph Corbett,James A. Rhodes
David Hicks,Mark Hampton
Anna Lee,Lucille Ball
Caffe Dante,Robert Mapplethorpe
Gene Wilder,Anne Bancroft
Louis L'Amour,Jimmy Carter
Gen. Manuel Contreras,Salvador Allende
Charles Black,Shirley Temple Black
Alan Clark,Saddam Hussein
Judith Lane Rand,Arlene Francis
Mildred Jefferson,Jesse Helms
Wayne Jackson,Chips Moman
Brenda Forbes,Rex Harrison
Linda F. Pezzano,James Mason
Billy Casper,Arnold Palmer
Mary Astor,Ann Harding
Derek Walcott,Paul Simon
Ken Norton,Junius Kellogg
Max Zaslofsky,Maurice Podoloff
Chuck Yeager,Robert S. McNamara
Elizabeth Meyer Lorentz,Pare Lorentz
Professor Nolte,Helmut Kohl
Nathan Turk,Gene Autry
Vincent Beck,Peter Pan
Howard H. Scott,Morton Gould
Tennyson Schad,Harry Callahan
Elton Spitzer,Billy Joel
Herbert Blau,Walter Kerr
John Z. DeLorean,Sammy Davis Jr.
Youri Egorov,Harold C. Schonberg
Clyde Lovellette,Wilt Chamberlain
Glenn T. Seaborg,Philip H. Abelson
Henderson G. Riggs,Louis J. Lefkowitz
Allen Ginsberg,William S. Burroughs
Phillip Oesterman,Irving Berlin
Edith Green,Mark O. Hatfield
Richard B. Wirthlin,Lyndon B. Johnson
Robert Fizdale,John Cage
Norman Lewis,Hamish Hamilton
Betsy Blair,Alfred A. Knopf
Stanley Chase,Leonard Nimoy
Gene Woodling,Johnny Lindell
Maryanne Amacher,John Cage
Bert Olmstead,Dickie Moore
Brendan Corish,William Norton
Milton Jerrold Shapp,Lyndon B. Johnson
Carlos Bernardo Alemany,Salvador Dali
Alton Asa Lennon,Ku Klux Klan
Morton A. Zolotow,Sam Zolotow
E. Howard Hunt,William F. Buckley Jr.
Helen Gee,Aaron Siskind
Anneliese Rothenberger,Mel Ferrer
Vladimir Dokoudovsky,Monte Carlo
Billy Joel,Bruce Springsteen
Trey Wilson,Jessica Tandy
John A. McCone,Robert F. Kennedy
Norman Eddy,James Baldwin
William Ragsdale Cannon Jr.,John Paul II
Ed Warner,Ed Roman
Erick Hawkins,Ralph Lee
Roy Simmons Sr,Roy Simmons
Ludwig Gluskin,Orson Welles
Saul Chaplin,Sammy Cahn
Albertina Sisulu,Walter Sisulu
Jimmy Weston,Frank Sinatra
Elmer Bernstein,Otto Preminger
William P. Rogers,Alger Hiss
Frederick Hill,James Kennedy
Roger Fessaguet,John Kennedy
Norman Fruman,George Braziller
Michael G. Pugliese,John Cage
Vittorio Gassman,Dino Risi
Maria Ley,Harry Belafonte
Piero Cappuccilli,Maria Callas
Tad Szulc,Fidel Castro
Alfredo Silipigni,Anna Moffo
James Welch,Reynolds Price
Ann Curtis,Esther Williams
Ed Paschke,Adolf Hitler
Cecil Taylor,Lester Bowie
Joseph E. Attles,Cab Calloway
Viola Spolin,Anthony Holland
Paul Tully,Edward M. Kennedy
Harvey Lichtenstein,Bill Clinton
Dino Anagnost,Virgil Thomson
George Roy Hill,Arthur Penn
Samantha Smith,Mikhail S. Gorbachev
Mr. Moss,Milt Moss
Gloria Shayne Baker,Andy Williams
Rufus Harley,Dizzy Gillespie
Shlomo Lahat,Yitzhak Rabin
James Cabell Bruce,Franklin D. Roosevelt
Eugen Jochum,Karl Bohm
Tony Martin,Ray Noble
Joan Daves,Heinrich Boll
Maury Allen,Roger Maris
James L. Reinsch,Lyndon B. Johnson
Carolyn Ann Franklin,Erma Franklin
Herman Brix,Ronald Reagan
Cypress Hill,Sun Ra
Julia Waldbaum,Betty Crocker
Malcolm C. Todd,Richard M. Nixon
Mr. Don,Philippe Noiret
Patricia Roberts Harris,William Proxmire
Sid Caesar,Albert Einstein
Debbie Reynolds,Richard Burton
Elizabeth Allen,Jack Manning
Joe Jones,Charlie Parker
Ben Edwards,Katharine Hepburn
Robert E. Herzstein,Gerald R. Ford
Hugh Martin,Alec Wilder
Jean Dalrymple,Nathan Milstein
John Braine,Alan Sillitoe
C. Z. Guest,Ann Landers
Leo Friedman,Sammy Davis Jr.
Marshall Berman,John Leonard
Walter S. Salant,James Tobin
Haru Matsukata Reischauer,Edwin O. Reischauer
New Yorkers,Martha Graham
Willard Waterman,Barbara Stanwyck
Thomas J. Stasink,Patricia Johnson
William P. Rogers,Neil Armstrong
David Markson,John D. MacDonald
Akira Kurosawa,Kon Ichikawa
Earle H. Hagen,Herbert Spencer
David F. Powers,Harold Macmillan
Robert J. Lampman,John F. Kennedy
Jerry Hadley,Joan Sutherland
Donald R. Cotter,James R. Schlesinger
Shannon Bolin,Arthur Godfrey
Peter Shaffer,Anthony Shaffer
William H. Booth,Mario M. Cuomo
Robert Bass,Salvatore Licitra
Yehoshafat Harkabi,Chaim Herzog
Stewart Parker,Richard Eder
Mickey Newbury,Don Gibson
Michael V. Gazzo,Alfred Hayes
Paul Petzoldt,Dick Durrance
Bobby Taylor,James Brown
Lew Wood,Frank Blair
Jules Davids,John F. Kennedy
Esther Bradford Aresty,Craig Claiborne
Donald T. Regan,Nancy Reagan
Warner LeRoy,Barbra Streisand
Bob Sheppard,Maury Allen
Ann Waldron,Claude Sitton
Jimmy Buffett,Bill Cosby
Seymour Fisher,Sid Caesar
Richard C. Holbrooke,Alija Izetbegovic
Robert Wells,Harry Belafonte
George W. George,Elizabeth Taylor
Edward G. Lansdale,Stanley Karnow
Dale Olson,Elizabeth Taylor
Lawrencia Bembenek,Mike Jacobs
Harold Norse,James Baldwin
Stanley M. Swinton,George C. Marshall
Aleksandr Feklisov,Walter Schneir
Cherie DeCastro,Nancy Marchand
Ken W. Clawson,Richard M. Nixon
Merce Cunningham,Isadora Duncan
Marius Goring,Peter Ustinov
James Herriot,Maeve Binchy
Arnold M. Auerbach,Milton Berle
John D. Caemmerer,Warren M. Anderson
Gene Norman,Benny Goodman
Nancy Reagan,Richard M. Nixon
Jeff Gralnick,Harry Reasoner
Alan J. Freedman,Doris Chanin Freedman
Robert Lawrence Balzer,Ingrid Bergman
James Cabell Bruce,Adlai E. Stevenson
Sam Salz,Henry Ford
Solomon J. Buchsbaum,Richard M. Nixon
Pete Seeger,Alan Lomax
Jack Clayton,James Mason
William H. Mortensen,Robert Carter
Helen Frankenthaler,Rufino Tamayo
Lillian Hellman,Leonard Bernstein
Sammy Davis Jr.,Tom Bradley
Denise Darcel,Robert Taylor
Arthur J. Lelyveld,James Chaney
Lois Weisberg,Harold Washington
Irvin Shapiro,Hal Roach
George S. Moore,Maria Callas
O. Edmund Clubb,Joseph R. McCarthy
Eugene Rachlis,Edwin Newman
Edward D. Hoch,Edgar Award
Elliott Kastner,Ross Macdonald
Kemmons Wilson,Sam Phillips
Joe Cronin,Calvin Griffith
Greg Page,Bert Sugar
Billie Holiday,Sarah Vaughan
Roberto Lorca,Maria Alba
Babe Dahlgren,Babe Ruth
Valerie Worth Bahlke,Myra Cohn Livingston
Suzy Parker,Fred Astaire
Mr. Barrows,Billy Graham
Stanley Kramer,Ethel Merman
William Self,Fred Silverman
Lidiya Chukovskaya,Boris N. Yeltsin
Albert Boni,John Tebbel
Siobhan McKenna,Laurence Olivier
Ernestine Stodelle,Peggy Ashcroft
Jimi Hendrix,Stevie Ray Vaughan
Arthur Mercante Sr,Joe Frazier
Alberta Smith Jacoby,Paul Smith
James King,Karl Bohm
Michael Hordern,David Mercer
Rene Lacoste,Jean Borotra
Richard T. Gill,Placido Domingo
Jerry Tallmer,Vance Bourjaily
David Huddleston,Mel Brooks
Willie Thrower,George Blanda
Bernard Stollman,Sun Ra
Frank DiLuzio,Lyndon B. Johnson
Robert Ludlum,John Leonard
Leo Jaffe,Sam Spiegel
Anheuser Busch Jr.,Franklin D. Roosevelt
Ronald Shannon Jackson,Betty Carter
Jane Meyerhoff,Roy Lichtenstein
Stan Freberg,John Kenneth Galbraith
Ken Roberts's,Errol Flynn
Arthur Bisguier,Bobby Fischer
Peter Graves,Jerry Zucker
Mercedes Matter,Louis Finkelstein
Edward Dmytryk,Richard Burton
John Ebstein,John F. Kennedy
Sylvia Woods,Muhammad Ali
James B. Edwards,Jimmy Carter
Richard Barr,Nancy Walker
John T. McTernan,Ben Margolis
Walter Payton,Jim Finks
Richard M. Sudhalter,Benny Goodman
John Updike,James Wood
Rose Maddox,Dolly Parton
Jim Lange,Chuck Barris
Edwin D. Dodd,Richard M. Nixon
Adolph Green,Arthur Schwartz
Adelaide Hall,Art Tatum
Joey Covington,Spencer Dryden
Martin Manulis,Dale Olson
Donald W. Fiske,William Harms
Wang Ping,Mao Zedong
Daniel Aaron,Richard M. Nixon
Jack Clayton,Ray Bradbury
Ronald H. Brown,Bill Clinton
Cherie DeCastro,Bob Hope
Frances Buss,Buff Cobb
Geraldine Stutz,Carlos Falchi
Howard Kaminsky,Tony Schwartz
Arthur M. Schlesinger Jr.,Ronald Reagan
Mr. Barrows,George Beverly Shea
Michele Marsh,Pat Harper
Wolfgang Wagner,Richard Wagner
Lord Wigg,John Profumo
John Michael Dunn,Gerald R. Ford
Max Roach,Stanley Turrentine
Dennis James,Milton Berle
Phyllis Diller,Minnie Pearl
Richard D. Gidron,George Steinbrenner
Charlotte Curtis,Robert F. Kennedy
Harry Morgan,Glenn Ford
Edward Rondthaler,Theodore Roosevelt
Thomas A. Bolan,Roy M. Cohn
Herb Kaplow,Eugene J. McCarthy
Herbert Ross,Arthur Laurents
Laurence A. Tisch,Thomas H. Wyman
Isaac Stern,Alexander Zakin
Enrico Caruso,Joan Sutherland
Margaret Chase Smith,Franklin D. Roosevelt
Alan J. Dixon,Dan Quayle
Milton Jerrold Shapp,John F. Kennedy
John T. Noonan Jr.,Jack Kevorkian
Carnegie Hall,Carl E. Schorske
Augie Rodriguez,Sammy Davis Jr.
Constance Montague Montgomery,Debbie Reynolds
Vladimir Sokoloff,Efrem Zimbalist
Marie Windsor,Charlton Heston
Don Ettlinger,Shirley Temple
Primrose Bordier,Charles Henri Gombault
John Haines,Edouard Roditi
Ardito Desio,Charles S. Houston
Hank Greenberg,Bill Veeck
Nelson Bunker Hunt,Jerry Falwell
Sydney M. Pozer,Paul Brickhill
Ken Murray,Bob Hope
Barbara Anne Castle,Margaret Thatcher
Herbert X. Blyden,Nelson A. Rockefeller
Colleen Dewhurst,Jason Robards
Thomas Gibbons Aylesworth,Alex Karras
Harold J. Rothwax,John V. Lindsay
Glenn Yarbrough,Richard Boone
Ileana Sonnabend,Robert Rauschenberg
Frances Steloff,Marian Seldes
Michael Peters,Alvin Ailey
Raymond T. Schuler,Hugh L. Carey
Jerome Brody,Richard Burton
Katharine Hepburn,James Stewart
Jerry Zipkin,Ronald Reagan
Mary Selway,Lindsay Anderson
Jean Marais,Abel Gance
Lyndon B. Johnson,Henry Cabot Lodge
Michael Bennett,Tony Awards
Paul Bowles,Tennessee Williams
Chaim Herzog,Isaac Wolfson
James O'Gara,Dorothy Day
Arvell Shaw,Benny Goodman
Jose Greco,Perry Como
Charlie Palmieri,Pupi Campo
Syreeta Wright,Billy Preston
James W. Michaels,Howard Cosell
Nancy Macdonald,Selden Rodman
Ron Pratt,Eleo Pomare
Ed Temple,Wilma Rudolph
Dan Kurzman,Nobusuke Kishi
Kiyoshi Hayakawa,Mario Puzo
Gordon Boelzner,George Balanchine
Don Lamond,Charlie Parker
Michael Strong,William Wyler
Craig Claiborne,Gaston Lenotre
Charles H. Price II,Ronald Reagan
Harry S. Dent Jr.,Gerald R. Ford
Gary Keys,Lionel Hampton
Carmine Coppola,Vincent Canby
Bob Hope,Spiro T. Agnew
William E. Sauro,Helen Keller
Bernard Vonnegut,Vincent J. Schaefer
A. J. Levinson,Karen Ann Quinlan
Ward Byron,Cab Calloway
John Alvin,Blake Edwards
Robert Quine,James Marshall
Elio Fiorucci,Antonio Lopez
Johnny Duncan,Dan Seals
Terry Southern,Dennis Hopper
Phil Patton,Art Deco
Lois Bewley,Allen Hughes
Doris Singleton,Desi Arnaz
Ruth Orkin,Leonard Bernstein
Enos Slaughter,Johnny Pesky
Eugene R. Black,Eugene Robert Black
Gene Saks,Walter Kerr
Herbert Hill,Hannah Arendt
Sam Hormusji,Indira Gandhi
W. Donald McNeill,Jean Borotra
Michael E. Hoffman,Mary Ellen Mark
Chuck Berry,Bob Dylan
Pat Kavanagh,Ruth Rendell
Hank Bauer,Johnny Pesky
Swami Satchidananda,Paul Winter
Richard J. Cardamone,Mario M. Cuomo
Charles Holland,Ross Parmenter
Gabriel Figueroa Mateos,John Steinbeck
Harvey Miller,Vaughn Meader
Mary Louise Rasmuson,John F. Kennedy
Johnny Carisi,Ray McKinley
Ralph McInerny,Tom Bosley
Alex Comfort,George Orwell
Stephen J. Borell,Vladimir Horowitz
Tom Greenwade,Hank Bauer
Frank Thompson Jr.,Staten Island
Al Haig,Jimmy Dorsey
Rex Harrison,Audrey Hepburn
Richard Dysart,William Ball
Bobby Rogers,Jackie Wilson
Donald Finkel,Carolyn Kizer
Cleveland Robinson,Barbara Stuart
Sam Aaron,Joseph Heller
James Van Der Zee,Noel Pointer
Herbert Ross,Jacqueline Kennedy
John Chancellor,John William
Henderson Forsythe,Walter Kerr
William T. Cunningham,George Bush
Ira I. Miller,Evelyn Slewett
Al Green,Otis Clay
Edgar Wayburn,David Brower
Dick Van Patten,Fredric March
Wayne N. Aspinall,Jimmy Carter
David Gebhard,Charles Moore
Bo Diddley,Ernie Ford
Dick Lynch,Phil Rizzuto
Ernst Neizvestny,Vladimir V. Putin
Yvonne Mounsey,George Balanchine
Jack Caulfield,Edward M. Kennedy
Walter Perkins,Carmen McRae
Mort Fega,Carmen McRae
Homai Vyarawalla,Mao Zedong
Milt Campbell,Paul Brown
Keith Emerson,Jimi Hendrix
Denise Levertov,Kenneth Rexroth
Jenna McMahon,Carol Burnett
Hayden Rorke,Larry Hagman
Arlene Robbins Wolberg,Lewis R. Wolberg
Abe Feder,Joseph Wechsberg
Stewart Richardson,Edward M. Kennedy
Alastair Reid,Robert Graves
Bruce Surtees,Bob Fosse
Antonio Prohias,Fidel Castro
Sidney Lanier,Betty Lou
Solomon Burke,Willie Mitchell
Beth Straus,Elizabeth Allen
James H. Scheuer,Jonathan B. Bingham
Daniel J. O'Hern,Robert N. Wilentz
Dorothy McGuire,Perry Como
Happy Rockefeller,Adlai E. Stevenson
Lee Calhoun,Rod Milburn
Richard Milhous Nixon,George C. Wallace
Julie Harris,Harold Clurman
Bob Burnett,Waylon Jennings
H. M. Horner,Harry J. Gray
Joseph Sargent,Irving Wallace
Larry Aldrich,Geoffrey Beene
John Garcia Gensel,Miles Davis
Justice Herlihy,Nelson A. Rockefeller
William Como,Maurice Bejart
Former President Gustav Husak,Mikhail S. Gorbachev
Marcus Belgrave,James Carter
Mel Farr,Heisman Trophy
Joseph C. DiCarlo,Abraham D. Beame
Al Boeke,William Turnbull
Sam Hunter,Robert Rauschenberg
Warren Zevon,Bob Dylan
Thomas N. Armstrong III,John I. H. Baur
Clair E. George,William J. Casey
Stanley Kramer,Jose Ferrer
Billy Joe Royal,Jerry Reed
Dana Andrews,Steve Forrest
David Shepard,Abel Gance
Bert Steinhauser,Gary Cooper
Sammy Cahn,John F. Kennedy
Lester Bernstein,Osborn Elliott
Allan D'Arcangelo,Andy Warhol
Barbara Bel Geddes,Jean Kerr
Dick Van Patten,Tom Braden
Mary Ann Unger,George Sugarman
Les Daniels,Fredric Wertham
Ahmet Ertegun,Ornette Coleman
William W. Juengst,John V. Lindsay
Louis E. Wolfson,Lyndon B. Johnson
Charls Walker,Ronald Reagan
Richard Milhous Nixon,Ronald Reagan
George M. Shapiro,Thomas E. Dewey
James Gandolfini,Nancy Marchand
Hal Walker,Robert F. Kennedy
Ben R. Rich,Jimmy Carter
Larry Doby,Johnny Sain
Craig Stevens,Alexis Smith
Alix Williamson,Herbert Barrett
Dina Abramowicz,George F. Kennan
Frederick Ashton,Michael Somes
Richard Morris,Elvis Presley
Leonard Woodcock,Ronald Reagan
Fred Benjamin,Talley Beatty
Alex Karras,Mel Brooks
Arthur M. Schlesinger Jr.,Richard M. Nixon
William Everest Ryan,James R. Hoffa
Robert Farmer,David Garth
Benedict Freedman,Alfred Hitchcock
Nikolaus Pevsner,William Morris
Rod McKuen,John Steinbeck
Gene Mako,Zander Hollander
Colorado Springs,Glenn Davis
Vaino Linna,John Barkham
Kenneth Donald Glancy,Mel Torme
Rudy Van Gelder,Miles Davis
Roland Culver,Bing Crosby
Gordon Jenkins,Louis Armstrong
Michael Foot,James Callaghan
Dick Contino,Horace Heidt
William Steig,Maurice Sendak
Deborah Kerr,James Mason
Al Hirschfeld,Arthur Gelb
Cecil F. Poole,William Coblentz
Howard Koslow,Muddy Waters
Walter Jackson Bate,Howard Moss
Margalo Gillmore,Peter Pan
Roosevelt Whitney,Elliott Roosevelt
Rod Steiger,Elia Kazan
James Laughlin,Henry Miller
Stan Tracey,Stan Getz
Ralph S. Larsen,James E. Burke
Ellie Greenwich,Gerry Goffin
Jane Pickens Hoving,Jack Gould
