name,dod,gov_of
Willis J. Bailey,1932-05-19T00:00:00Z,Governor of Kansas
George H. Hodges,1947-10-07T00:00:00Z,Governor of Kansas
George T. Mickelson,1965-02-28T00:00:00Z,Governor of South Dakota
Ralph Herseth,1969-01-24T00:00:00Z,Governor of South Dakota
Nils Boe,1992-07-30T00:00:00Z,Governor of South Dakota
James Sevier Conway,1855-03-03T00:00:00Z,Governor of Arkansas
Orval Faubus,1994-12-14T00:00:00Z,Governor of Arkansas
Joseph Taylor Robinson,1937-07-14T00:00:00Z,Governor of Arkansas
Sid McMath,2003-10-04T00:00:00Z,Governor of Arkansas
James Henderson Berry,1913-01-30T00:00:00Z,Governor of Arkansas
Frank G. Clement,1969-11-04T00:00:00Z,Governor of Tennessee
Robert L. Caruthers,1882-10-02T00:00:00Z,Governor of Tennessee
Tom Berry,1951-10-30T00:00:00Z,Governor of South Dakota
Peter Norbeck,1936-12-20T00:00:00Z,Governor of South Dakota
Leslie Jensen,1964-12-14T00:00:00Z,Governor of South Dakota
Richard F. Kneip,1987-03-09T00:00:00Z,Governor of South Dakota
William J. Fields,1954-10-21T00:00:00Z,Governor of Kentucky
Charles Scott,1813-10-22T00:00:00Z,Governor of Kentucky
Augustus Owsley Stanley,1958-08-12T00:00:00Z,Governor of Kentucky
Thomas Metcalfe,1855-08-18T00:00:00Z,Governor of Kentucky
John Crepps Wickliffe Beckham,1940-01-09T00:00:00Z,Governor of Kentucky
John Murphy,1841-09-21T00:00:00Z,Governor of Alabama
John A. Winston,1871-12-21T00:00:00Z,Governor of Alabama
Emmet O'Neal,1922-09-07T00:00:00Z,Governor of Alabama
Frank M. Dixon,1965-10-11T00:00:00Z,Governor of Alabama
Gabriel Moore,1845-06-09T00:00:00Z,Governor of Alabama
Henry W. Collier,1855-08-28T00:00:00Z,Governor of Alabama
Judy Martz,2017-10-30T00:00:00Z,Governor of Montana
Frank Henry Cooney,1935-12-15T00:00:00Z,Governor of Montana
Tim M. Babcock,2015-04-07T00:00:00Z,Governor of Montana
Joseph M. Dixon,1934-05-22T00:00:00Z,Governor of Montana
Thomas Lee Judge,2006-09-08T00:00:00Z,Governor of Montana
Charles Hillman Brough,1935-12-26T00:00:00Z,Governor of Arkansas
Tom Jefferson Terral,1946-03-09T00:00:00Z,Governor of Arkansas
George Washington Hays,1927-09-15T00:00:00Z,Governor of Arkansas
Homer Martin Adkins,1964-02-26T00:00:00Z,Governor of Arkansas
Benjamin Travis Laney,1977-01-21T00:00:00Z,Governor of Arkansas
Bob C. Riley,1994-02-16T00:00:00Z,Governor of Arkansas
Junius Marion Futrell,1955-06-20T00:00:00Z,Governor of Arkansas
James F. Byrnes,1972-04-09T00:00:00Z,Governor of South Carolina
Andrew Gordon Magrath,1893-04-09T00:00:00Z,Governor of South Carolina
James Hamilton,1857-11-15T00:00:00Z,Governor of South Carolina
Charles Pinckney,1824-10-29T00:00:00Z,Governor of South Carolina
Arnoldus Vanderhorst,1815-01-29T00:00:00Z,Governor of South Carolina
Edward A. O'Neal,1890-11-07T00:00:00Z,Governor of Alabama
Charles Henderson,1937-01-07T00:00:00Z,Governor of Alabama
Clement Comer Clay,1866-09-06T00:00:00Z,Governor of Alabama
George Wallace,1998-09-13T00:00:00Z,Governor of Alabama
John G. Townsend,1964-04-10T00:00:00Z,Governor of Delaware
William T. Watson,1917-04-14T00:00:00Z,Governor of Delaware
Elbert N. Carvel,2005-02-06T00:00:00Z,Governor of Delaware
Charles L. Terry,1970-02-06T00:00:00Z,Governor of Delaware
Sherman W. Tribbitt,2010-08-14T00:00:00Z,Governor of Delaware
Simeon S. Pennewill,1935-09-10T00:00:00Z,Governor of Delaware
Shadrach Bond,1832-04-12T00:00:00Z,Governor of Illinois
John Reynolds,1865-05-08T00:00:00Z,Governor of Illinois
Joel Aldrich Matteson,1873-01-31T00:00:00Z,Governor of Illinois
William Grant Stratton,2001-03-02T00:00:00Z,Governor of Illinois
Henry Horner,1940-10-06T00:00:00Z,Governor of Illinois
Richard B. Ogilvie,1988-05-10T00:00:00Z,Governor of Illinois
Andrew B. Moore,1873-04-05T00:00:00Z,Governor of Alabama
Russell McWhortor Cunningham,1921-06-06T00:00:00Z,Governor of Alabama
Tauese Sunia,2003-03-26T00:00:00Z,Governor of American Samoa
Bibb Graves,1942-03-14T00:00:00Z,Governor of Alabama
Lurleen Brigham Burns Wallace,1968-05-07T00:00:00Z,Governor of Alabama
Flem D. Sampson,1967-05-25T00:00:00Z,Governor of Kentucky
Charles A. Wickliffe,1869-10-31T00:00:00Z,Governor of Kentucky
Thomas E. Bramlette,1875-01-12T00:00:00Z,Governor of Kentucky
Wallace G. Wilkinson,2002-07-05T00:00:00Z,Governor of Kentucky
Simeon S. Willis,1965-04-02T00:00:00Z,Governor of Kentucky
Edward T. Breathitt,2003-10-14T00:00:00Z,Governor of Kentucky
Alexandre Mouton,1885-02-12T00:00:00Z,Governor of Louisiana
Oscar K. Allen,1936-01-28T00:00:00Z,Governor of Louisiana
Newton C. Blanchard,1922-06-22T00:00:00Z,Governor of Louisiana
Huey Long,1935-09-10T00:00:00Z,Governor of Louisiana
Michael Hahn,1886-03-15T00:00:00Z,Governor of Louisiana
George Read,1798-09-21T00:00:00Z,Governor of Delaware
Richard Bassett,1815-08-15T00:00:00Z,Governor of Delaware
William Tharp,1865-01-09T00:00:00Z,Governor of Delaware
Roy E. Ayers,1955-05-23T00:00:00Z,Governor of Montana
Donald Grant Nutter,1962-01-05T00:00:00Z,Governor of Montana
Prentice Cooper,1969-05-18T00:00:00Z,Governor of Tennessee
Jim Nance McCord,1968-09-02T00:00:00Z,Governor of Tennessee
Hill McAlister,1959-10-30T00:00:00Z,Governor of Tennessee
Ray Blanton,1996-11-22T00:00:00Z,Governor of Tennessee
Buford Ellington,1972-04-03T00:00:00Z,Governor of Tennessee
John Sevier,1815-09-24T00:00:00Z,Governor of Tennessee
Ozra Amander Hadley,1915-07-18T00:00:00Z,Governor of Arkansas
Richard C. Byrd,1854-06-01T00:00:00Z,Governor of Arkansas
Xenophon Overton Pindall,1935-01-02T00:00:00Z,Governor of Arkansas
Jesse M. Martin,1915-01-22T00:00:00Z,Governor of Arkansas
John Isaac Moore,1937-03-18T00:00:00Z,Governor of Arkansas
Joe Purcell,1987-03-05T00:00:00Z,Governor of Arkansas
Samuel Adams,1850-02-27T00:00:00Z,Governor of Arkansas
Frank Fitzgerald,1939-03-16T00:00:00Z,Governor of Michigan
Frank Murphy,1949-07-19T00:00:00Z,Governor of Michigan
John S. Horner,1883-02-03T00:00:00Z,Governor of Michigan
George Bryan Porter,1834-07-06T00:00:00Z,Governor of Michigan
John Motley Morehead,1866-08-27T00:00:00Z,Governor of North Carolina
Edward Bishop Dudley,1855-10-30T00:00:00Z,Governor of North Carolina
David Lowry Swain,1868-08-27T00:00:00Z,Governor of North Carolina
George Brinton McClellan,1885-10-29T00:00:00Z,Governor of New Jersey
Peter Dumont Vroom,1873-11-18T00:00:00Z,Governor of New Jersey
John W. Griggs,1927-11-28T00:00:00Z,Governor of New Jersey
Marcus Lawrence Ward,1884-04-25T00:00:00Z,Governor of New Jersey
William A. Newell,1901-08-08T00:00:00Z,Governor of New Jersey
Keen Johnson,1970-02-07T00:00:00Z,Governor of Kentucky
Charles S. Morehead,1868-12-21T00:00:00Z,Governor of Kentucky
John Peter Altgeld,1902-03-12T00:00:00Z,Governor of Illinois
Edward Fitzsimmons Dunne,1937-05-24T00:00:00Z,Governor of Illinois
Frank Orren Lowden,1943-03-20T00:00:00Z,Governor of Illinois
Edward Coles,1868-07-07T00:00:00Z,Governor of Illinois
Joseph Bloomfield,1823-10-03T00:00:00Z,Governor of New Jersey
Joseph D. Bedle,1894-10-21T00:00:00Z,Governor of New Jersey
Henry Massey Rector,1899-08-12T00:00:00Z,Governor of Arkansas
Archibald Yell,1847-02-22T00:00:00Z,Governor of Arkansas
John Selden Roane,1867-04-08T00:00:00Z,Governor of Arkansas
Elias Nelson Conway,1892-02-28T00:00:00Z,Governor of Arkansas
Harris Flanagin,1874-10-23T00:00:00Z,Governor of Arkansas
John M. Parker,1939-05-20T00:00:00Z,Governor of Louisiana
Henry Watkins Allen,1866-04-22T00:00:00Z,Governor of Louisiana
James A. Noe,1976-10-18T00:00:00Z,Governor of Louisiana
Jimmie Davis,2000-11-05T00:00:00Z,Governor of Louisiana
Benjamin Flanders,1896-03-13T00:00:00Z,Governor of Louisiana
Bert T. Combs,1991-12-04T00:00:00Z,Governor of Kentucky
Isaac Shelby,1826-07-18T00:00:00Z,Governor of Kentucky
John J. Crittenden,1863-07-26T00:00:00Z,Governor of Kentucky
William O'Connell Bradley,1914-05-23T00:00:00Z,Governor of Kentucky
James Fisher Robinson,1882-10-31T00:00:00Z,Governor of Kentucky
Thomas Walter Bickett,1921-12-28T00:00:00Z,Governor of North Carolina
Nathaniel Alexander,1808-03-08T00:00:00Z,Governor of North Carolina
David Stone,1818-10-07T00:00:00Z,Governor of North Carolina
Oliver Max Gardner,1947-02-06T00:00:00Z,Governor of North Carolina
Warren Winslow,1862-08-16T00:00:00Z,Governor of North Carolina
William Tryon,1788-01-27T00:00:00Z,Governor of North Carolina
Charles Eden,1722-03-26T00:00:00Z,Governor of North Carolina
Josiah Martin,1786-04-13T00:00:00Z,Governor of North Carolina
Sigurd Anderson,1990-12-21T00:00:00Z,Governor of South Dakota
Charles H. Sheldon,1898-10-20T00:00:00Z,Governor of South Dakota
Charles N. Herreid,1928-07-06T00:00:00Z,Governor of South Dakota
Harlan John Bushfield,1948-09-27T00:00:00Z,Governor of South Dakota
Samuel H. Elrod,1935-07-13T00:00:00Z,Governor of South Dakota
Robert S. Vessey,1929-10-18T00:00:00Z,Governor of South Dakota
Coe I. Crawford,1944-04-25T00:00:00Z,Governor of South Dakota
George Tobey Anthony,1896-08-05T00:00:00Z,Governor of Kansas
John McCuish,1962-03-12T00:00:00Z,Governor of Kansas
John Martin,1889-10-02T00:00:00Z,Governor of Kansas
Lorenzo D. Lewelling,1900-09-03T00:00:00Z,Governor of Kansas
Payne Ratner,1974-12-27T00:00:00Z,Governor of Kansas
Samuel J. Crawford,1913-10-21T00:00:00Z,Governor of Kansas
Hutchins Gordon Burton,1836-04-21T00:00:00Z,Governor of North Carolina
Scott M. Matheson,1990-10-07T00:00:00Z,Governor of Utah
George Dewey Clyde,1972-04-02T00:00:00Z,Governor of Utah
William Read Miller,1887-11-29T00:00:00Z,Governor of Arkansas
Simon Pollard Hughes,1906-06-29T00:00:00Z,Governor of Arkansas
Jeff Davis,1913-01-03T00:00:00Z,Governor of Arkansas
Powell Clayton,1914-08-25T00:00:00Z,Governor of Arkansas
Daniel Webster Jones,1918-12-25T00:00:00Z,Governor of Arkansas
William Meade Fishback,1903-02-09T00:00:00Z,Governor of Arkansas
William Wyatt Bibb,1820-07-10T00:00:00Z,Governor of Alabama
David P. Lewis,1884-07-03T00:00:00Z,Governor of Alabama
Harold Guy Hunt,2009-01-30T00:00:00Z,Governor of Alabama
Benjamin M. Miller,1944-02-06T00:00:00Z,Governor of Alabama
John Gill Shorter,1872-05-29T00:00:00Z,Governor of Alabama
Heber Manning Wells,1938-03-12T00:00:00Z,Governor of Utah
Henry H. Blood,1942-06-19T00:00:00Z,Governor of Utah
John Christopher Cutler,1928-07-30T00:00:00Z,Governor of Utah
Norman H. Bangerter,2015-04-14T00:00:00Z,Governor of Utah
J. Bracken Lee,1996-10-20T00:00:00Z,Governor of Utah
Calvin L. Rampton,2007-09-16T00:00:00Z,Governor of Utah
Joseph W. Fifer,1938-08-06T00:00:00Z,Governor of Illinois
Shelby Moore Cullom,1914-01-28T00:00:00Z,Governor of Illinois
John Henry Stelle,1962-07-05T00:00:00Z,Governor of Illinois
John Riley Tanner,1901-05-23T00:00:00Z,Governor of Illinois
Sam Houston,1863-07-26T00:00:00Z,Governor of Texas
George Truitt,1818-10-08T00:00:00Z,Governor of Delaware
Cornelius P. Comegys,1851-01-27T00:00:00Z,Governor of Delaware
Ebe W. Tunnell,1917-12-18T00:00:00Z,Governor of Delaware
John Clark,1821-08-14T00:00:00Z,Governor of Delaware
Joseph Haslet,1823-06-20T00:00:00Z,Governor of Delaware
John Hunn,1926-09-01T00:00:00Z,Governor of Delaware
William Temple,1863-05-28T00:00:00Z,Governor of Delaware
Charles C. Stockley,1901-04-20T00:00:00Z,Governor of Delaware
William Scranton,2013-07-28T00:00:00Z,Governor of Pennsylvania
William Bigler,1880-08-09T00:00:00Z,Governor of Pennsylvania
George M. Leader,2013-05-09T00:00:00Z,Governor of Pennsylvania
James H. Duff,1969-12-20T00:00:00Z,Governor of Pennsylvania
Robert E. Pattison,1904-08-01T00:00:00Z,Governor of Pennsylvania
Olene S. Walker,2015-11-28T00:00:00Z,Governor of Utah
William Spry,1929-04-21T00:00:00Z,Governor of Utah
Charles R. Mabey,1959-04-26T00:00:00Z,Governor of Utah
Herbert B. Maw,1990-11-17T00:00:00Z,Governor of Utah
George Dern,1936-08-27T00:00:00Z,Governor of Utah
Robert C. Wickliffe,1895-04-18T00:00:00Z,Governor of Louisiana
Thomas Overton Moore,1876-06-25T00:00:00Z,Governor of Louisiana
Paul Octave Hébert,1880-08-29T00:00:00Z,Governor of Louisiana
Henry L. Fuqua,1926-10-11T00:00:00Z,Governor of Louisiana
John McEnery,1891-03-28T00:00:00Z,Governor of Louisiana
William Wright Heard,1926-05-31T00:00:00Z,Governor of Louisiana
Jared Y. Sanders,1944-03-23T00:00:00Z,Governor of Louisiana
Thomas Chipman McRae,1929-06-02T00:00:00Z,Governor of Arkansas
Thomas Fletcher,1880-02-25T00:00:00Z,Governor of Arkansas
Thomas Mifflin,1800-01-20T00:00:00Z,Governor of Pennsylvania
James A. Beaver,1914-01-31T00:00:00Z,Governor of Pennsylvania
David L. Lawrence,1966-11-21T00:00:00Z,Governor of Pennsylvania
Edward Martin,1967-03-19T00:00:00Z,Governor of Pennsylvania
Thomas Carney,1888-07-28T00:00:00Z,Governor of Kansas
Walter A. Huxman,1972-06-25T00:00:00Z,Governor of Kansas
Walter R. Stubbs,1929-03-25T00:00:00Z,Governor of Kansas
Albert B. Cummins,1926-07-30T00:00:00Z,Governor of Iowa
George Allison Wilson,1953-09-08T00:00:00Z,Governor of Iowa
Harold Hughes,1996-10-23T00:00:00Z,Governor of Iowa
John Gayle,1859-07-21T00:00:00Z,Governor of Alabama
Thomas H. Watts,1892-08-16T00:00:00Z,Governor of Alabama
Hugh McVay,1851-05-09T00:00:00Z,Governor of Alabama
William D. Jelks,1931-12-13T00:00:00Z,Governor of Alabama
Albert Brewer,2017-01-02T00:00:00Z,Governor of Alabama
John Y. Brown,1904-01-11T00:00:00Z,Governor of Kentucky
William Goebel,1900-02-03T00:00:00Z,Governor of Kentucky
James B. McCreary,1918-10-08T00:00:00Z,Governor of Kentucky
Lazarus W. Powell,1867-07-03T00:00:00Z,Governor of Kentucky
James Garrard,1822-01-19T00:00:00Z,Governor of Kentucky
Augustus C. French,1864-09-04T00:00:00Z,Governor of Illinois
Thomas Ford,1850-11-03T00:00:00Z,Governor of Illinois
Thomas Carlin,1852-02-14T00:00:00Z,Governor of Illinois
William Lee D. Ewing,1846-03-25T00:00:00Z,Governor of Illinois
Louis Lincoln Emmerson,1941-02-04T00:00:00Z,Governor of Illinois
Samuel H. Shapiro,1987-03-16T00:00:00Z,Governor of Illinois
Len Small,1936-05-17T00:00:00Z,Governor of Illinois
Andrew Gregg Curtin,1894-10-07T00:00:00Z,Governor of Pennsylvania
Gifford Pinchot,1946-10-04T00:00:00Z,Governor of Pennsylvania
William Cameron Sproul,1928-03-21T00:00:00Z,Governor of Pennsylvania
Samuel Whitaker Pennypacker,1916-09-02T00:00:00Z,Governor of Pennsylvania
Joseph Ritner,1869-10-16T00:00:00Z,Governor of Pennsylvania
Martin Grove Brumbaugh,1930-03-14T00:00:00Z,Governor of Pennsylvania
Arthur James,1973-04-27T00:00:00Z,Governor of Pennsylvania
Leonard B. Jordan,1983-06-30T00:00:00Z,Governor of Idaho
James H. Brady,1918-01-13T00:00:00Z,Governor of Idaho
Frank R. Gooding,1928-06-24T00:00:00Z,Governor of Idaho
Moses Alexander,1932-01-04T00:00:00Z,Governor of Idaho
John V. Evans,2014-07-08T00:00:00Z,Governor of Idaho
Caleb P. Bennett,1836-05-09T00:00:00Z,Governor of Delaware
James Ponder,1897-11-05T00:00:00Z,Governor of Delaware
Charles Polk,1857-10-27T00:00:00Z,Governor of Delaware
Caesar Rodney,1784-06-26T00:00:00Z,Governor of Delaware
James Caleb Boggs,1993-03-26T00:00:00Z,Governor of Delaware
Richard C. McMullen,1944-02-18T00:00:00Z,Governor of Delaware
Allan Shivers,1985-01-14T00:00:00Z,Governor of Texas
Miriam A. Ferguson,1961-06-25T00:00:00Z,Governor of Texas
Charles Allen Culberson,1925-03-19T00:00:00Z,Governor of Texas
Andrew Jackson Hamilton,1875-04-11T00:00:00Z,Governor of Texas
Francis Lubbock,1905-06-22T00:00:00Z,Governor of Texas
Robert D. Ray,2018-07-08T00:00:00Z,Governor of Iowa
George W. Clarke,1936-11-28T00:00:00Z,Governor of Iowa
Beryl F. Carroll,1939-12-16T00:00:00Z,Governor of Iowa
L. M. Shaw,1932-03-28T00:00:00Z,Governor of Iowa
"Otto Kerner, Jr.",1976-05-09T00:00:00Z,Governor of Illinois
John M. Palmer,1900-09-25T00:00:00Z,Governor of Illinois
John Lourie Beveridge,1910-05-03T00:00:00Z,Governor of Illinois
Richard Yates,1873-11-27T00:00:00Z,Governor of Illinois
John Wood,1880-06-04T00:00:00Z,Governor of Illinois
William Henry Bissell,1860-03-18T00:00:00Z,Governor of Illinois
Ann Richards,2006-09-13T00:00:00Z,Governor of Texas
Pat Morris Neff,1952-01-20T00:00:00Z,Governor of Texas
John Connally,1993-06-15T00:00:00Z,Governor of Texas
Elias M. Ammons,1925-05-20T00:00:00Z,Governor of Colorado
William Ellery Sweet,1942-05-09T00:00:00Z,Governor of Colorado
Clarence Morley,1948-11-15T00:00:00Z,Governor of Colorado
Billy Adams,1954-02-04T00:00:00Z,Governor of Colorado
William Lee Knous,1959-12-13T00:00:00Z,Governor of Colorado
John Charles Vivian,1964-02-10T00:00:00Z,Governor of Colorado
Ray Herbert Talbot,1955-01-30T00:00:00Z,Governor of Colorado
Joseph Duncan,1844-01-15T00:00:00Z,Governor of Illinois
John Marshall Hamilton,1905-09-22T00:00:00Z,Governor of Illinois
Richard J. Oglesby,1899-04-24T00:00:00Z,Governor of Illinois
Charles S. Deneen,1940-02-05T00:00:00Z,Governor of Illinois
Ninian Edwards,1833-07-20T00:00:00Z,Governor of Illinois
Dan Walker,2015-04-29T00:00:00Z,Governor of Illinois
Ruffin Pleasant,1937-09-12T00:00:00Z,Governor of Louisiana
Sam H. Jones,1978-02-08T00:00:00Z,Governor of Louisiana
Robert F. Kennon,1988-01-11T00:00:00Z,Governor of Louisiana
Alvin Olin King,1958-02-21T00:00:00Z,Governor of Louisiana
Andre B. Roman,1866-01-26T00:00:00Z,Governor of Louisiana
James Madison Wells,1899-02-28T00:00:00Z,Governor of Louisiana
C. Ben Ross,1946-03-31T00:00:00Z,Governor of Idaho
John M. Haines,1917-06-04T00:00:00Z,Governor of Idaho
Charles C. Moore,1958-03-19T00:00:00Z,Governor of Idaho
John S. Fine,1978-05-21T00:00:00Z,Governor of Pennsylvania
William A. Stone,1920-03-01T00:00:00Z,Governor of Pennsylvania
John K. Tener,1946-05-19T00:00:00Z,Governor of Pennsylvania
Dave Treen,2009-10-29T00:00:00Z,Governor of Louisiana
John McKeithen,1999-06-04T00:00:00Z,Governor of Louisiana
Thomas B. Robertson,1828-10-05T00:00:00Z,Governor of Louisiana
Samuel D. McEnery,1910-06-28T00:00:00Z,Governor of Louisiana
Armand Beauvais,1843-11-18T00:00:00Z,Governor of Louisiana
Isaac Johnson,1853-03-15T00:00:00Z,Governor of Louisiana
Rose Mofford,2016-09-15T00:00:00Z,Governor of Arizona
Thomas Edward Campbell,1944-03-01T00:00:00Z,Governor of Arizona
Sidney Preston Osborn,1948-05-25T00:00:00Z,Governor of Arizona
Samuel Pearson Goddard Jr.,2006-02-01T00:00:00Z,Governor of Arizona
John Calhoun Phillips,1943-06-25T00:00:00Z,Governor of Arizona
John Howard Pyle,1987-11-29T00:00:00Z,Governor of Arizona
MacGillivray Milne,1959-01-26T00:00:00Z,Governor of American Samoa
Edward Hanson,1959-10-18T00:00:00Z,Governor of American Samoa
Henry Louis Larsen,1962-10-02T00:00:00Z,Governor of American Samoa
Allen Hobbs,1960-11-23T00:00:00Z,Governor of American Samoa
Laurence Wild,1971-05-26T00:00:00Z,Governor of American Samoa
John Gould Moyer,1976-01-21T00:00:00Z,Governor of American Samoa
Ralph Hungerford,1977-02-22T00:00:00Z,Governor of American Samoa
Thomas Darden,1961-06-17T00:00:00Z,Governor of American Samoa
Andrew W. Hockenhull,1974-06-20T00:00:00Z,Governor of New Mexico
Arthur Seligman,1933-09-25T00:00:00Z,Governor of New Mexico
Arthur T. Hannett,1966-03-18T00:00:00Z,Governor of New Mexico
James F. Hinkle,1951-03-26T00:00:00Z,Governor of New Mexico
Octaviano Ambrosio Larrazolo,1930-04-07T00:00:00Z,Governor of New Mexico
Merritt C. Mechem,1946-05-24T00:00:00Z,Governor of New Mexico
Richard Charles Dillon,1966-01-05T00:00:00Z,Governor of New Mexico
John J. Dempsey,1958-03-11T00:00:00Z,Governor of New Mexico
Edward John Thye,1969-08-28T00:00:00Z,Governor of Minnesota
Horace Austin,1905-11-02T00:00:00Z,Governor of Minnesota
Lucius Frederick Hubbard,1913-02-05T00:00:00Z,Governor of Minnesota
William Rush Merriam,1931-02-18T00:00:00Z,Governor of Minnesota
William Rainey Marshall,1896-01-08T00:00:00Z,Governor of Minnesota
John S. Pillsbury,1901-10-18T00:00:00Z,Governor of Minnesota
John Lind,1930-09-18T00:00:00Z,Governor of Minnesota
Benjamin Harrison Eaton,1904-10-29T00:00:00Z,Governor of Colorado
John Long Routt,1907-08-13T00:00:00Z,Governor of Colorado
James Bradley Orman,1919-07-21T00:00:00Z,Governor of Colorado
Jesse Fuller McDonald,1942-02-25T00:00:00Z,Governor of Colorado
John F. Shafroth,1922-02-20T00:00:00Z,Governor of Colorado
Henry Augustus Buchtel,1924-10-22T00:00:00Z,Governor of Colorado
Julius Caldeen Gunter,1940-10-26T00:00:00Z,Governor of Colorado
Joshua H. Marvil,1895-04-08T00:00:00Z,Governor of Delaware
Robert P. Robinson,1939-03-04T00:00:00Z,Governor of Delaware
William Cannon,1865-03-01T00:00:00Z,Governor of Delaware
Caleb Rodney,1840-04-29T00:00:00Z,Governor of Delaware
Robert J. Reynolds,1909-06-10T00:00:00Z,Governor of Delaware
Preston Lea,1916-12-04T00:00:00Z,Governor of Delaware
David F. Cargo,2013-07-05T00:00:00Z,Governor of New Mexico
Tom Bolack,1998-05-20T00:00:00Z,Governor of New Mexico
John F. Simms,1975-04-11T00:00:00Z,Governor of New Mexico
Thomas J. Mabry,1962-12-23T00:00:00Z,Governor of New Mexico
C. A. Bottolfsen,1964-07-18T00:00:00Z,Governor of Idaho
Robert E. Smylie,2004-07-17T00:00:00Z,Governor of Idaho
Frank Steunenberg,1905-12-30T00:00:00Z,Governor of Idaho
George L. Shoup,1904-12-21T00:00:00Z,Governor of Idaho
N. B. Willey,1921-10-20T00:00:00Z,Governor of Idaho
Robert D. Blue,1989-12-13T00:00:00Z,Governor of Iowa
Samuel Merrill,1899-08-31T00:00:00Z,Governor of Iowa
John S. Phelps,1886-11-20T00:00:00Z,Governor of Missouri
Thomas Theodore Crittenden,1909-05-29T00:00:00Z,Governor of Missouri
Elliot Woolfolk Major,1949-07-09T00:00:00Z,Governor of Missouri
Meriwether Lewis,1809-10-11T00:00:00Z,Governor of Missouri
Vernon Huber,1967-06-17T00:00:00Z,Governor of American Samoa
Samuel Canan,1964-03-01T00:00:00Z,Governor of American Samoa
John C. Elliott,2001-08-13T00:00:00Z,Governor of American Samoa
Lorenzo I. De Leon Guerrero,2006-10-06T00:00:00Z,Governor of the Northern Mariana Islands
Eloy Inos,2015-12-28T00:00:00Z,Governor of the Northern Mariana Islands
Benjamin Baker Moeur,1937-03-16T00:00:00Z,Governor of Arizona
Charles C. Gossett,1974-09-20T00:00:00Z,Governor of Idaho
Cecil D. Andrus,2017-08-24T00:00:00Z,Governor of Idaho
Frank W. Hunt,1906-11-25T00:00:00Z,Governor of Idaho
H. C. Baldridge,1947-06-08T00:00:00Z,Governor of Idaho
James H. Hawley,1929-08-03T00:00:00Z,Governor of Idaho
Chase A. Clark,1966-12-30T00:00:00Z,Governor of Idaho
George Wolf,1840-03-11T00:00:00Z,Governor of Pennsylvania
George Howard Earle III,1974-12-30T00:00:00Z,Governor of Pennsylvania
Edwin Sydney Stuart,1937-03-21T00:00:00Z,Governor of Pennsylvania
Milton Shapp,1994-11-24T00:00:00Z,Governor of Pennsylvania
Robert P. Casey,2000-05-30T00:00:00Z,Governor of Pennsylvania
Daniel Gould Fowle,1891-04-07T00:00:00Z,Governor of North Carolina
Thomas Jordan Jarvis,1915-06-17T00:00:00Z,Governor of North Carolina
Daniel Lindsay Russell,1908-05-14T00:00:00Z,Governor of North Carolina
Thomas Burke,1783-12-02T00:00:00Z,Governor of North Carolina
Robert Broadnax Glenn,1920-05-16T00:00:00Z,Governor of North Carolina
Cameron A. Morrison,1953-08-20T00:00:00Z,Governor of North Carolina
William Walton Kitchin,1924-11-09T00:00:00Z,Governor of North Carolina
Stephen P. Hempstead,1883-02-16T00:00:00Z,Governor of Iowa
Ansel Briggs,1881-05-05T00:00:00Z,Governor of Iowa
Warren Garst,1924-10-05T00:00:00Z,Governor of Iowa
Samuel J. Kirkwood,1894-09-01T00:00:00Z,Governor of Iowa
Horace Boies,1923-04-04T00:00:00Z,Governor of Iowa
Nelson G. Kraschel,1957-03-15T00:00:00Z,Governor of Iowa
Buren R. Sherman,1904-11-04T00:00:00Z,Governor of Iowa
Cyrus C. Carpenter,1898-05-29T00:00:00Z,Governor of Iowa
Daniel Webster Turner,1969-04-15T00:00:00Z,Governor of Iowa
Leo Hoegh,2000-07-15T00:00:00Z,Governor of Iowa
Francis M. Drake,1903-11-20T00:00:00Z,Governor of Iowa
William L. Harding,1934-12-17T00:00:00Z,Governor of Iowa
Clyde Tingley,1960-12-24T00:00:00Z,Governor of New Mexico
John E. Miles,1971-10-07T00:00:00Z,Governor of New Mexico
Jack M. Campbell,1999-06-14T00:00:00Z,Governor of New Mexico
Cushman Kellogg Davis,1900-11-27T00:00:00Z,Governor of Minnesota
Rudy Perpich,1995-09-21T00:00:00Z,Governor of Minnesota
Samuel Medary,1864-11-07T00:00:00Z,Governor of Minnesota
Adolph Olson Eberhart,1944-12-06T00:00:00Z,Governor of Minnesota
C. Elmer Anderson,1998-01-22T00:00:00Z,Governor of Minnesota
Andrew Ryan McGill,1905-10-31T00:00:00Z,Governor of Minnesota
John Albert Johnson,1909-09-21T00:00:00Z,Governor of Minnesota
Elmer Austin Benson,1985-03-13T00:00:00Z,Governor of Minnesota
Elmer L. Andersen,2004-11-15T00:00:00Z,Governor of Minnesota
Samuel Rinnah Van Sant,1936-10-03T00:00:00Z,Governor of Minnesota
"Sir Richard Everard, 4th Baronet",1733-02-17T00:00:00Z,Governor of North Carolina
Ezequiel Cabeza De Baca,1917-02-18T00:00:00Z,Governor of New Mexico
John Burroughs,1978-05-21T00:00:00Z,Governor of New Mexico
Charles Bent,1847-01-19T00:00:00Z,Governor of New Mexico
Edwin L. Mechem,2002-11-27T00:00:00Z,Governor of New Mexico
Thomas C. Latimore,1941-01-01T00:00:00Z,Governor of American Samoa
